"1","2018-07-13 09:42:00","चीन के सबसे बड़े केमिकल प्लांट में ब्लास्ट, 19 की मौत, 12 घायल","दुनिया","world","hi"
"3","2018-07-16 13:47:00","50 लाख की आबादी वाला क्रोएशिया फुटबॉल फाइनल खेल रहा और हम 135 करोड़ लोग हिंदू-मुस्लिम: हरभजन सिंह","भारत","india","hi"
"4","2018-07-16 12:00:00","स्विस बैंकों में भारतीयों के 7000 करोड़ रुपए जमा, इनमें से 300 करोड़ रुपए के दावेदार तीन साल से नहीं मिल रहे","भारत","india","hi"
"5","2018-07-16 11:55:00","इनकम टैक्स रिटर्न: इन चार टिप्स को अपनाकर आप भी पा सकते हैं टैक्स में भारी छूट","भारत","india","hi"
"6","2018-07-16 11:10:00","साकेत कोर्ट में सीनियर एडवोकेट ने चैंबर में महिला वकील को पीटा, शराब पिलाई और दुष्कर्म करके चैंबर के बाहर फेंका","भारत","india","hi"
"8","2018-07-16 06:40:00","हत्या या खुदकुशी‌: तीसरी मंजिल से गिरकर एयर होस्टेस की मौत; पिता बोले- टॉर्चर करता था पति","भारत","india","hi"
"9","2018-07-16 06:28:00","भारत आएगा न्यूटन का सेब का पेड़; पुणे के आईयूसीएए में फिर से न्यूटन के एपल ट्री को उगाने की कोशिशें","भारत","india","hi"
"10","2018-07-16 06:01:00","फेसबुक डेटा लीक की जानकारी सार्वजनिक नहीं करेगी सरकार","भारत","india","hi"
"13","2018-07-17 12:50:00","भोपाल, इंदौर और उज्जैन में 24 घंटे तक भारी बारिश की चेतावनी, गुजरात के 7 जिलों में नदी-नाले उफान पर","भारत","india","hi"
"15","2018-07-15 22:08:00","कर्नाटक: चॉकलेट बांट रहे युवकों को भीड़ ने बच्चा चोरी के शक में पीटा; इंजीनियर की मौत, 3 जख्मी","भारत","india","hi"
"17","2018-07-17 12:29:00","सुप्रीम कोर्ट ने कहा- भीड़तंत्र को नए कानून के रूप में मान्यता नहीं दे सकते, इसे फौलादी हाथों से खत्म कर देंगे","भारत","india","hi"
"19","2018-07-17 12:18:00","बच्चों के भविष्य के लिए अपनाएं चिल्ड्रेंस फंड, क्योंकि 20 साल बाद बच्चों की पढ़ाई का खर्च आप पर पड़ेगा भारी","भारत","india","hi"
"21","2018-07-17 12:06:00","मनोहर पर्रिकर ने कहा- क्या मैं सेना से कहता कि सर्जिकल स्‍ट्राइक के लिए राहुल गांधी को साथ ले जाएं","भारत","india","hi"
"24","2018-07-17 11:14:00","सऊदी अरब की नई नीतियों और दोगुने फैमिली टैक्स की वजह से भारतीय देश लौटने को मजबूर","भारत","india","hi"
"26","2018-07-17 09:58:00","अभिनेत्री रीता भादुड़ी का निधन, 70 फिल्मों और 20 से ज्यादा धारावाहिकों में किया था काम","भारत","india","hi"
"28","2018-07-17 12:46:00","भारत-इंग्लैंड तीसरा वनडे आज शाम 5 बजे से, लगातार 10वीं सीरीज जीतने पर टीम इंडिया की नजर","खेल","sports","hi"
"30","2018-07-17 09:46:00","28 साल पहले आतंकी बनने के लिए पाकिस्तान गया शख्स गायक बना, उसका कश्मीरी गाना हो रहा है हिट","भारत","india","hi"
"34","2018-07-17 06:44:00","एसबीआई ने मर्ज हुए पांच बैंकों से पैसा वापस मांगा; नोटबंदी के समय ओवरटाइम के भुगतान का मामला, 70 हजार कर्मचारी नाराज","भारत","india","hi"
"36","2018-07-16 20:15:00","बॉल टेम्परिंग: श्रीलंका क्रिकेट टीम के कप्तान चंडीमल और कोच हाथरूसिंघा पर 4 वनडे और 2 टेस्ट मैचों का प्रतिबंध","खेल","sports","hi"
"38","2018-07-17 12:36:00","यादें शेष: रीता भादुड़ी को हो गया था मौत का आभास, बीमारी में 15 दिन पहले तक कर रही थीं शो की शूटिंग","मनोरंजन","entertainment","hi"
"40","2018-07-17 06:04:00","केंद्र को सुप्रीम कोर्ट की फटकार; कहा- प्रदूषण से 60 हजार मौते हुईं, लोगों की जान अहम या उद्योग","भारत","india","hi"
"43","2018-07-16 18:55:00","वर्ल्ड कप के सबसे चर्चित खिलाड़ी एम्बाप्पे साढ़े तीन करोड़ रुपए की अपनी पूरी कमाई दान करेंगे","खेल","sports","hi"
"44","2018-07-17 11:27:00","न्यूयॉर्क की सड़कों पर प्रियंका ने शूट किया हॉलीवुड फिल्म का गाना, सामने आईं PHOTOS","मनोरंजन","entertainment","hi"
"45","2018-07-16 22:40:00","मिदनापुर रैली में पंडाल गिरने से 67 जख्मी, मोदी ने भाषण रोककर एसपीजी जवानों को मदद के लिए भेजा","भारत","india","hi"
"47","2018-07-16 17:27:00","वर्ल्ड कप चैम्पियन फ्रांस की ऐसी थी रणनीति- हर मैच 90 मिनट में जीता, 3 स्टार खिलाड़ियों की जगह 4 नए चेहरों को मौका दिया","खेल","sports","hi"
"49","2018-07-16 14:08:00","दाऊद, राहुल या मोहन भागवत से पूछ सकते हैं, 'मुल्क' में किसी का पैसा नहीं लगा : अनुभव सिन्हा का ट्रोलर्स को जवाब","मनोरंजन","entertainment","hi"
"51","2018-07-16 22:37:00","पत्नी की मौत के बाद हफ्तेभर लाश के सामने बैठा रहा लकवाग्रस्त पति; रिश्तेदार घर आया, तब हुआ अंतिम संस्कार","भारत","india","hi"
"53","2018-07-16 16:30:00","वर्ल्ड चैम्पियन फ्रांस को मिले 260 करोड़ रुपए, क्रिकेट और रग्बी वर्ल्ड कप विजेता से 10 गुना ज्यादा","खेल","sports","hi"
"55","2018-07-16 13:38:00","35वें बर्थ डे पर बोलीं कटरीना कैफ, 'प्यार जब होना होगा तभी होगा,अभी खुद के बारे में सोच रही हूं'","मनोरंजन","entertainment","hi"
"58","2018-07-16 20:30:00","​डेटा की गोपनीयता का अधिकार ग्राहकों को मिलना चाहिए, कंपनियां इसकी मालिक नहीं: ट्राई","भारत","india","hi"
"59","2018-07-16 15:30:00","फीफा फाइनल: पोग्बा ने साथी खिलाड़ियों से कहा था- सपना पूरा होने से 90 मिनट दूर, जो हमें इतिहास में अमर कर देगा","खेल","sports","hi"
"61","2018-07-16 13:37:00","शाहिद कपूर की वाइफ मीरा राजपूत का बेबी शॉवर, ईशान खट्टर के साथ पहुंची जाह्नवी कपूर","मनोरंजन","entertainment","hi"
"63","2018-07-16 18:39:00","इफको ने शुरू किया आई-मंडी ऐप, पांच करोड़ किसान घर बैठे खरीद सकेंगे खाद-बीज","भारत","india","hi"
"65","2018-07-16 13:06:00","फ्रांस 20 साल बाद फिर चैम्पियन: फाइनल में क्रोएशिया को 4-2 से हराया, हर मैच में पहला गोल कर विपक्षी पर दबाव बनाया","खेल","sports","hi"
